ModelName;InteractionSize;T;Algorithm;Time;Time;Configurations;Configurations;ModelIteration;NoResult;OutOfMemory;CorrectlyFoundLiteralsCount;CorrectlyFoundLiteralsCount;MissedLiteralsCount;MissedLiteralsCount
;;;;median;max;median;max;count;sum;sum;median;max;median;max
BankingSoftware;1;3;Random;0.3715;0.536;197.0;197.0;100;24;0;31.0;40.0;0.0;0.0
BankingSoftware;1;3;iident;0.5925;0.739;18.0;24.0;100;14;0;25.0;40.0;0.0;0.0
BankingSoftware;2;1;Inciident;0.08;0.103;9.0;12.0;100;58;0;24.0;73.0;1.0;30.0
BankingSoftware;2;1;Random;0.031;0.089;11.0;77.0;100;68;0;18.0;40.0;1.0;56.0
BankingSoftware;2;1;iident;0.083;0.103;9.0;12.0;100;58;0;24.0;73.0;1.0;30.0
BankingSoftware;2;2;Inciident;0.162;0.246;18.0;26.0;100;0;0;33.0;80.0;0.0;0.0
BankingSoftware;2;2;Random;0.0925;0.191;77.5;140.0;100;0;0;33.0;80.0;0.0;0.0
BankingSoftware;2;2;iident;0.211;0.244;16.0;24.0;100;0;0;33.0;80.0;0.0;0.0
BankingSoftware;2;3;Inciident;0.2115;0.479;26.0;40.0;100;0;0;33.0;80.0;0.0;0.0
BankingSoftware;2;3;Random;0.412;0.624;197.0;197.0;100;2;0;33.0;80.0;0.0;0.0
BankingSoftware;2;3;iident;0.6275;0.804;23.0;33.0;100;4;0;33.0;80.0;0.0;0.0
BankingSoftware;3;1;Inciident;0.079;0.098;9.0;11.0;100;73;0;26.0;73.0;3.0;31.0
BankingSoftware;3;1;Random;0.031;0.067;11.0;77.0;100;85;0;17.0;40.0;4.0;56.0
BankingSoftware;3;1;iident;0.08;0.1;9.0;11.0;100;73;0;26.0;73.0;3.0;31.0
BankingSoftware;3;2;Inciident;0.1735;0.234;19.0;28.0;100;52;0;26.0;95.0;2.0;31.0
BankingSoftware;3;2;Random;0.072;0.192;29.0;140.0;100;63;0;23.0;95.0;1.0;17.0
BankingSoftware;3;2;iident;0.212;0.273;16.0;27.0;100;55;0;32.0;95.0;1.0;17.0
BankingSoftware;3;3;Inciident;0.245;0.458;28.0;45.0;100;0;0;34.0;95.0;0.0;0.0
BankingSoftware;3;3;Random;0.399;0.628;197.0;197.0;100;0;0;34.0;95.0;0.0;0.0
BankingSoftware;3;3;iident;0.6315;0.846;23.0;35.0;100;0;0;34.0;95.0;0.0;0.0
BattleofTanks;1;1;Inciident;0.075;0.128;9.0;22.0;100;0;0;21.0;25.0;0.0;0.0
BattleofTanks;1;1;Random;0.039;0.073;11.0;74.0;100;0;0;21.0;25.0;0.0;0.0
BattleofTanks;1;1;iident;0.078;0.162;9.0;22.0;100;0;0;21.0;25.0;0.0;0.0
BattleofTanks;1;2;Inciident;0.3365;0.58;66.0;113.0;100;0;0;21.0;25.0;0.0;0.0
BattleofTanks;1;2;Random;0.136;0.181;135.0;135.0;100;21;0;25.0;25.0;0.0;0.0
BattleofTanks;1;2;iident;0.3775;0.653;64.0;114.0;100;5;0;21.0;25.0;0.0;0.0
BattleofTanks;1;3;Inciident;0.34199999999999997;0.591;67.0;119.0;100;0;0;21.0;25.0;0.0;0.0
BattleofTanks;1;3;Random;0.3755;0.518;190.0;190.0;100;18;0;25.0;25.0;0.0;0.0
BattleofTanks;1;3;iident;0.805;1.344;61.0;99.0;100;15;0;25.0;25.0;0.0;0.0
BattleofTanks;2;1;Inciident;0.073;0.167;9.0;18.0;100;24;0;17.5;25.0;1.0;34.0
BattleofTanks;2;1;Random;0.038;0.064;11.0;74.0;100;29;0;21.0;25.0;1.0;18.0
BattleofTanks;2;1;iident;0.076;0.134;9.0;18.0;100;24;0;17.5;25.0;1.0;34.0
BattleofTanks;2;2;Inciident;0.2115;0.544;28.0;101.0;100;0;0;22.0;42.0;0.0;0.0
BattleofTanks;2;2;Random;0.125;0.189;135.0;135.0;100;10;0;25.0;42.0;0.0;0.0
BattleofTanks;2;2;iident;0.2675;0.69;27.5;114.0;100;0;0;22.0;42.0;0.0;0.0
BattleofTanks;2;3;Inciident;0.3845;0.611;67.0;118.0;100;0;0;22.0;42.0;0.0;0.0
BattleofTanks;2;3;Random;0.358;0.492;190.0;190.0;100;13;0;25.0;42.0;0.0;0.0
BattleofTanks;2;3;iident;0.7115;1.656;65.0;175.0;100;3;0;22.0;42.0;0.0;0.0
BattleofTanks;3;1;Inciident;0.074;0.089;9.0;12.0;100;52;0;14.0;25.0;2.0;34.0
BattleofTanks;3;1;Random;0.0375;0.073;11.0;74.0;100;50;0;21.0;26.0;2.0;19.0
BattleofTanks;3;1;iident;0.075;0.097;9.0;12.0;100;52;0;14.0;25.0;2.0;34.0
BattleofTanks;3;2;Inciident;0.1545;0.461;21.0;61.0;100;10;0;24.0;42.0;1.0;2.0
BattleofTanks;3;2;Random;0.0905;0.202;53.5;135.0;100;15;0;24.0;42.0;1.0;6.0
BattleofTanks;3;2;iident;0.218;0.615;19.5;87.0;100;15;0;25.0;42.0;1.0;2.0
BattleofTanks;3;3;Inciident;0.3325;0.648;52.5;95.0;100;0;0;26.0;42.0;0.0;0.0
BattleofTanks;3;3;Random;0.3405;0.611;190.0;190.0;100;6;0;26.0;42.0;0.0;0.0
BattleofTanks;3;3;iident;0.6525000000000001;1.619;46.5;175.0;100;0;0;26.0;42.0;0.0;0.0
ChatClient;1;1;Inciident;0.029;0.033;7.0;8.0;100;0;0;4.0;6.0;0.0;0.0
ChatClient;1;1;Random;0.02;0.034;9.0;39.0;100;0;0;4.0;6.0;0.0;0.0
ChatClient;1;1;iident;0.028;0.032;7.0;8.0;100;0;0;4.0;6.0;0.0;0.0
ChatClient;1;2;Inciident;0.0405;0.059;10.0;13.0;100;0;0;4.0;6.0;0.0;0.0
ChatClient;1;2;Random;0.028;0.05;16.0;64.0;100;21;0;4.0;6.0;0.0;0.0
ChatClient;1;2;iident;0.054;0.067;9.0;11.0;100;15;0;4.0;6.0;0.0;0.0
ChatClient;1;3;Inciident;0.043;0.06;13.0;15.0;100;0;0;4.0;6.0;0.0;0.0
ChatClient;1;3;Random;0.029;0.055;10.5;81.0;100;46;0;4.0;6.0;0.0;0.0
ChatClient;1;3;iident;0.075;0.094;9.0;11.0;100;25;0;4.0;6.0;0.0;0.0
ChatClient;2;1;Inciident;0.026;0.033;6.0;7.0;100;48;0;4.0;6.0;1.0;4.0
ChatClient;2;1;Random;0.0165;0.031;7.0;39.0;100;60;0;4.0;6.0;1.0;4.0
ChatClient;2;1;iident;0.027;0.034;6.0;7.0;100;48;0;4.0;6.0;1.0;4.0
ChatClient;2;2;Inciident;0.045;0.063;11.0;14.0;100;0;0;5.0;10.0;0.0;0.0
ChatClient;2;2;Random;0.0315;0.053;20.0;64.0;100;0;0;5.0;10.0;0.0;0.0
ChatClient;2;2;iident;0.0545;0.068;9.0;11.0;100;0;0;5.0;10.0;0.0;0.0
ChatClient;2;3;Inciident;0.05;0.082;13.0;21.0;100;0;0;5.0;10.0;0.0;0.0
ChatClient;2;3;Random;0.0385;0.07;28.5;81.0;100;13;0;5.0;10.0;0.0;0.0
ChatClient;2;3;iident;0.077;0.106;10.0;13.0;100;5;0;5.0;10.0;0.0;0.0
ChatClient;3;1;Inciident;0.026;0.032;6.0;7.0;100;66;0;4.0;6.0;2.0;6.0
ChatClient;3;1;Random;0.015;0.021;6.0;14.0;100;79;0;4.0;6.0;2.0;8.0
ChatClient;3;1;iident;0.026;0.033;6.0;7.0;100;66;0;4.0;6.0;2.0;6.0
